member_id,tree_id,name,gender,birth_date,death_date,generation_no,generation_name,biography,is_alive
1092501,7008,张德强,male,1404-01-01,1501-12-31,1,德,Rule-generated Stage7 member for 合成张氏.,False
1092514,7008,张强文,male,1422-01-01,1517-12-31,2,仁,Rule-generated Stage7 member for 合成张氏.,False
1092521,7008,张仁梅,female,1421-01-01,1466-12-31,2,仁,Rule-generated Stage7 member for 合成张氏.,False
1092528,7008,张文强,male,1425-01-01,1461-12-31,2,仁,Rule-generated Stage7 member for 合成张氏.,False
1092535,7008,张仁华,female,1422-01-01,1472-12-31,2,仁,Rule-generated Stage7 member for 合成张氏.,False
1092539,7008,张孝世,male,1446-01-01,1524-12-31,3,孝,Rule-generated Stage7 member for 合成张氏.,False
1092542,7008,张华雅,female,1446-01-01,1520-12-31,3,孝,Rule-generated Stage7 member for 合成张氏.,False
1092546,7008,张孝清,female,1443-01-01,1539-12-31,3,孝,Rule-generated Stage7 member for 合成张氏.,False
1092549,7008,张孝国,male,1441-01-01,1509-12-31,3,孝,Rule-generated Stage7 member for 合成张氏.,False
1092552,7008,张孝慧,female,1442-01-01,1511-12-31,3,孝,Rule-generated Stage7 member for 合成张氏.,False
1092554,7008,张孝华,female,1440-01-01,1521-12-31,3,孝,Rule-generated Stage7 member for 合成张氏.,False
1092559,7008,张孝伟,male,1442-01-01,1514-12-31,3,孝,Rule-generated Stage7 member for 合成张氏.,False
1092561,7008,张孝成,male,1441-01-01,1534-12-31,3,孝,Rule-generated Stage7 member for 合成张氏.,False
1092565,7008,张孝文,male,1442-01-01,1534-12-31,3,孝,Rule-generated Stage7 member for 合成张氏.,False
1092566,7008,张芳宁,female,1445-01-01,1533-12-31,3,孝,Rule-generated Stage7 member for 合成张氏.,False
1092572,7008,张敏,female,1445-01-01,1521-12-31,3,孝,Rule-generated Stage7 member for 合成张氏.,False
1092573,7008,张伟德,male,1446-01-01,1480-12-31,3,孝,Rule-generated Stage7 member for 合成张氏.,False
1092577,7008,张礼德,male,1463-01-01,1524-12-31,4,礼,Rule-generated Stage7 member for 合成张氏.,False
1092578,7008,张丽,female,1461-01-01,1554-12-31,4,礼,Rule-generated Stage7 member for 合成张氏.,False
1092580,7008,张礼清,female,1467-01-01,1549-12-31,4,礼,Rule-generated Stage7 member for 合成张氏.,False
1092582,7008,张强,female,1463-01-01,1558-12-31,4,礼,Rule-generated Stage7 member for 合成张氏.,False
1092583,7008,张礼宗,male,1464-01-01,1519-12-31,4,礼,Rule-generated Stage7 member for 合成张氏.,False
1092584,7008,张礼宁,female,1465-01-01,1534-12-31,4,礼,Rule-generated Stage7 member for 合成张氏.,False
1092587,7008,张礼安,male,1465-01-01,1517-12-31,4,礼,Rule-generated Stage7 member for 合成张氏.,False
1092588,7008,张丽,female,1461-01-01,1545-12-31,4,礼,Rule-generated Stage7 member for 合成张氏.,False
1092590,7008,张敏,female,1463-01-01,1512-12-31,4,礼,Rule-generated Stage7 member for 合成张氏.,False
1092593,7008,张文国,male,1465-01-01,1562-12-31,4,礼,Rule-generated Stage7 member for 合成张氏.,False
