member_id,tree_id,name,gender,birth_date,death_date,generation_no,generation_name,biography,is_alive
1000001,7001,刘德承,male,1324-01-01,1405-12-31,1,德,Rule-generated Stage7 member for 汉朝刘氏.,false
1000002,7001,刘丽,female,1329-01-01,1383-12-31,1,德,Rule-generated Stage7 member for 汉朝刘氏.,false
1000003,7001,刘仁文,male,1347-01-01,1397-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000004,7001,刘敏梅,female,1350-01-01,1407-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000005,7001,刘伟,male,1350-01-01,1447-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000006,7001,刘安玉,female,1348-01-01,1415-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000007,7001,刘仁伟,male,1348-01-01,1408-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000008,7001,刘仁梅,female,1349-01-01,1413-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000009,7001,刘仁世,male,1349-01-01,1406-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000010,7001,刘仁敏,female,1351-01-01,1425-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000011,7001,刘仁景,male,1346-01-01,1382-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000012,7001,刘安安,female,1346-01-01,1414-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000013,7001,刘丽,male,1348-01-01,1418-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000014,7001,刘仁慧,female,1346-01-01,1417-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000015,7001,刘仁成,male,1347-01-01,1401-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000016,7001,刘慧安,female,1347-01-01,1392-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000017,7001,刘仁伟,male,1348-01-01,1420-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000018,7001,刘仁丽,female,1346-01-01,1413-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000019,7001,刘文世,male,1348-01-01,1401-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000020,7001,刘强,female,1348-01-01,1382-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000021,7001,刘仁宗,male,1351-01-01,1391-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000022,7001,刘仁芳,female,1349-01-01,1417-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000023,7001,刘明,male,1348-01-01,1406-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000024,7001,刘仁梅,female,1348-01-01,1384-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000025,7001,刘强景,male,1348-01-01,1435-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000026,7001,刘仁安,female,1349-01-01,1416-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000027,7001,刘仁德,male,1346-01-01,1410-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000028,7001,刘仁丽,female,1348-01-01,1423-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000029,7001,刘仁国,male,1345-01-01,1397-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000030,7001,刘仁慧,female,1345-01-01,1418-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000031,7001,刘仁景,male,1346-01-01,1413-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000032,7001,刘仁芳,female,1349-01-01,1409-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000033,7001,刘仁宗,male,1349-01-01,1407-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000034,7001,刘雅宁,female,1348-01-01,1412-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000035,7001,刘安景,male,1346-01-01,1386-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000036,7001,刘雅兰,female,1350-01-01,1390-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000037,7001,刘世景,male,1346-01-01,1401-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000038,7001,刘敏,female,1349-01-01,1447-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000039,7001,刘仁伟,male,1351-01-01,1410-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000040,7001,刘梅敏,female,1345-01-01,1410-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000041,7001,刘伟德,male,1351-01-01,1407-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000042,7001,刘强,female,1347-01-01,1394-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000043,7001,刘丽,male,1350-01-01,1396-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000044,7001,刘华,female,1349-01-01,1440-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000045,7001,刘伟,male,1351-01-01,1428-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000046,7001,刘仁兰,female,1346-01-01,1417-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000047,7001,刘仁明,male,1351-01-01,1410-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000048,7001,刘宁丽,female,1345-01-01,1434-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000049,7001,刘仁国,male,1351-01-01,1414-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000050,7001,刘仁玉,female,1351-01-01,1415-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000051,7001,刘仁安,male,1345-01-01,1432-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000052,7001,刘伟,female,1348-01-01,1424-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000053,7001,刘文伟,male,1351-01-01,1428-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000054,7001,刘仁雅,female,1349-01-01,1437-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000055,7001,刘仁伟,male,1345-01-01,1402-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000056,7001,刘仁敏,female,1345-01-01,1395-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000057,7001,刘景承,male,1348-01-01,1423-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000058,7001,刘仁兰,female,1347-01-01,1407-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000059,7001,刘敏,male,1351-01-01,1443-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000060,7001,刘仁敏,female,1349-01-01,1418-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000061,7001,刘伟,male,1349-01-01,1422-12-31,2,仁,Rule-generated Stage7 member for 汉朝刘氏.,false
1000062,7001,刘景成,male,1367-01-01,1442-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000063,7001,刘孝敏,female,1371-01-01,1463-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000064,7001,刘孝安,male,1370-01-01,1415-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000065,7001,刘孝丽,female,1371-01-01,1454-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000066,7001,刘国世,male,1368-01-01,1449-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000067,7001,刘华,female,1370-01-01,1441-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000068,7001,刘孝文,male,1369-01-01,1418-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000069,7001,刘慧丽,female,1369-01-01,1434-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000070,7001,刘承景,male,1370-01-01,1407-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000071,7001,刘孝丽,female,1372-01-01,1467-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000072,7001,刘国明,male,1369-01-01,1466-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000073,7001,刘孝敏,female,1373-01-01,1444-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000074,7001,刘孝明,male,1368-01-01,1452-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000075,7001,刘兰梅,female,1372-01-01,1448-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000076,7001,刘孝安,male,1370-01-01,1458-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000077,7001,刘孝雅,female,1369-01-01,1440-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000078,7001,刘孝承,male,1370-01-01,1435-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000079,7001,刘孝梅,female,1372-01-01,1424-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000080,7001,刘孝强,male,1373-01-01,1430-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000081,7001,刘孝敏,female,1372-01-01,1420-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000082,7001,刘明,male,1371-01-01,1447-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000083,7001,刘安宁,female,1373-01-01,1456-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000084,7001,刘安伟,male,1373-01-01,1427-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000085,7001,刘芳梅,female,1371-01-01,1425-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000086,7001,刘承世,male,1371-01-01,1425-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000087,7001,刘玉雅,female,1370-01-01,1413-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000088,7001,刘文承,male,1372-01-01,1423-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000089,7001,刘孝清,female,1367-01-01,1428-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000090,7001,刘孝文,male,1371-01-01,1461-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000091,7001,刘孝慧,female,1373-01-01,1466-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000092,7001,刘孝伟,male,1369-01-01,1423-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000093,7001,刘孝慧,female,1372-01-01,1434-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000094,7001,刘华,male,1370-01-01,1410-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000095,7001,刘芳华,female,1369-01-01,1442-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
1000096,7001,刘成承,male,1369-01-01,1431-12-31,3,孝,Rule-generated Stage7 member for 汉朝刘氏.,false
